"Resp_id1","strata","bra10grp","aldergrp","udgrp","loengrp","int_resultat","metode","pervgt","A1","A1a","A3","A4","A5","A7","A8","A9","B1","B2","B3","B4","B5","B6","B7","B8","B9","B10","B11","B12","B13","B14","B15","C1","C2","C3","C4","C5","D1","D2","D3","D4","E3","E3a","E3b","E3c","E4","E4a","E4b","E4c","E1","E1a","E1b","E1c","E2","E2a","E2b","E2c","F1","F1a","F1b","F1c","F2","F2a","F2b","F2c","G1","G1a","G1b","G1c","G2","G2a","G2b","G2c","G3","G3a","G3b","G3c","H1","H2","H3","H4","J1","J2","ISCO_NU","ISCO_DA"
"LS102824",4,"8 Erhvervsservice",2,2,2,1,2,1354.692186,1,NA,38,NA,1,1,1,1,1,1,2,3,3,3,4,4,4,3,4,4,1,4,4,3,3,3,3,3,2,4,4,3,4,3,NA,NA,1,3,2,1,5,3,NA,NA,2,3,2,2,5,3,NA,NA,5,3,NA,NA,4,1,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,91,3,3313,3313
"LS103087",3,"2 Industri, råstofindvinding og forsyningsvirksomhed",1,2,2,1,2,3027.501438,1,NA,83,NA,1,1,1,2,1,2,2,4,2,3,3,2,2,2,3,4,2,1,3,1,3,2,3,3,1,4,4,2,1,3,2,2,1,1,2,2,3,3,2,2,3,3,2,2,4,3,NA,NA,3,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,98,3,4110,7127
"LS103468",7,"9 Offentlig administration, undervisning og sundhed",3,2,2,1,1,1870.088318,1,NA,19,NA,1,1,1,1,1,1,1,5,2,2,3,2,2,2,2,1,4,4,3,3,3,3,3,3,1,5,4,4,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,19,2,5329,9999
"LS104992",1,"5 Information og kommunikation",1,3,2,1,2,3143.121863,1,NA,85,NA,1,1,1,1,3,2,2,3,2,2,3,3,4,2,2,2,4,4,3,2,3,1,3,3,2,4,3,2,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,2,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,2,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,85,3,2512,2512
"LS105742",6,"3 Bygge og anlæg",2,1,4,1,2,1535.607818,1,NA,91,NA,1,1,1,1,1,1,1,4,2,2,3,1,1,1,1,2,1,4,4,3,3,3,3,3,2,5,3,2,2,3,3,1,2,3,3,1,2,3,2,1,2,3,2,1,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,4,3,NA,NA,4,3,NA,NA,NA,NA,NA,NA,91,2,3322,3322
"LS105747",5,"2 Industri, råstofindvinding og forsyningsvirksomhed",2,2,4,1,2,2051.189057,1,NA,38,NA,1,1,1,1,2,2,2,4,2,2,5,2,3,2,3,3,4,4,3,1,1,3,2,2,3,5,4,2,3,2,3,1,2,3,3,2,4,3,NA,NA,2,3,3,2,5,3,NA,NA,5,3,NA,NA,1,3,3,2,2,3,2,2,1,3,3,2,NA,NA,NA,NA,38,2,9705,9705
"LS105824",3,"1 Landbrug, skovbrug og fiskeri",3,2,2,1,1,1449.339812,1,NA,38,NA,1,1,1,1,3,1,1,4,1,3,1,4,1,1,4,4,4,5,4,3,3,3,1,1,1,5,1,5,4,3,NA,NA,3,3,3,1,5,3,NA,NA,2,3,3,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,38,3,6210,6210
"LS105863",6,"9 Offentlig administration, undervisning og sundhed",2,2,4,1,2,1068.544258,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,1,2,11,3,9999,9999
"LS106166",4,"9 Offentlig administration, undervisning og sundhed",2,3,4,1,2,1053.322518,1,NA,98,NA,1,1,1,1,3,1,1,3,1,2,4,2,2,2,1,2,5,5,4,3,1,3,2,2,2,5,2,3,1,3,3,1,5,3,NA,NA,3,3,1,1,3,1,3,2,5,3,NA,NA,5,3,NA,NA,3,1,2,2,4,1,NA,NA,5,3,NA,NA,NA,NA,NA,NA,98,3,2340,2340
"LS106822",10,"8 Erhvervsservice",2,2,2,1,1,900.4901431,1,NA,36,NA,1,2,2,1,1,1,1,5,1,1,1,1,1,2,1,2,2,5,4,1,3,2,1,1,1,5,5,2,3,1,3,1,2,2,3,1,1,1,3,1,1,1,3,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,36,2,2423,2423
"LS107239",4,"2 Industri, råstofindvinding og forsyningsvirksomhed",3,2,3,1,2,700.7192209,1,NA,93,NA,1,1,1,1,2,2,4,4,2,2,3,3,2,2,2,4,3,3,4,1,1,2,1,1,1,3,3,3,3,3,1,2,5,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,1,3,2,2,NA,NA,NA,NA,93,3,3114,9999
"LS107916",4,"2 Industri, råstofindvinding og forsyningsvirksomhed",2,2,4,1,1,1256.808363,1,NA,33,NA,1,1,1,1,2,2,3,2,3,3,3,2,2,2,2,3,4,4,4,3,3,3,3,3,1,5,2,3,4,3,NA,NA,5,3,NA,NA,4,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,1,3,3,1,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,33,3,4322,4322
"LS108141",1,"8 Erhvervsservice",3,2,2,1,2,2294.215676,1,NA,44,NA,1,1,2,2,1,2,2,4,3,1,3,3,1,1,3,3,2,1,1,2,2,1,1,1,1,5,2,2,4,2,NA,NA,1,1,2,1,3,3,2,1,1,3,2,1,5,3,NA,NA,5,3,NA,NA,1,3,2,1,1,3,2,1,1,3,2,1,NA,NA,NA,NA,44,3,4110,4110
"LS108587",8,"6 Finansiering og forsikring",2,2,4,1,2,1142.690268,1,NA,24,NA,1,1,1,1,1,1,1,4,2,1,2,1,1,3,1,4,2,5,4,3,3,3,3,3,2,4,2,2,1,3,1,1,3,3,3,2,5,3,NA,NA,4,3,NA,NA,5,3,NA,NA,5,3,NA,NA,1,3,2,2,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,24,2,3313,3313
"LS109172",6,"9 Offentlig administration, undervisning og sundhed",2,3,3,1,2,1326.059778,1,NA,82,NA,1,1,1,1,5,1,1,3,2,2,5,3,2,2,3,1,3,5,4,3,3,3,3,3,2,3,4,4,1,3,1,1,3,2,2,3,4,3,NA,NA,1,3,1,1,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,82,2,2340,2340
"LS109546",4,"8 Erhvervsservice",1,3,4,1,2,1415.127949,1,NA,98,NA,1,1,1,2,1,1,1,2,1,1,3,1,2,2,1,2,3,2,2,1,1,2,1,2,2,5,2,1,1,2,3,2,1,3,2,2,3,2,3,2,2,3,3,2,3,3,3,2,3,3,3,2,3,3,3,2,2,2,3,2,3,2,3,2,NA,NA,NA,NA,98,3,1120,1211
"LS109937",9,"2 Industri, råstofindvinding og forsyningsvirksomhed",2,2,2,1,2,2604.309041,1,NA,36,NA,1,2,2,2,1,1,2,3,2,2,4,2,2,1,4,3,2,5,3,3,1,3,3,3,2,4,3,3,4,2,NA,NA,5,2,NA,NA,5,2,NA,NA,5,2,NA,NA,1,1,2,2,1,1,2,2,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,36,3,7221,7234
"LS110457",1,"9 Offentlig administration, undervisning og sundhed",3,2,2,1,2,2294.215676,1,NA,18,NA,1,1,1,1,1,2,1,4,3,2,3,3,1,1,5,4,1,5,5,1,2,1,1,1,1,5,2,1,4,2,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,5,3,NA,NA,NA,NA,NA,NA,18,3,9412,9412
